18:35:44 | general | _Jordi_ edited: Neuk uit
18:36:58 | general | BorutoUzumaki deleted: ded
18:38:13 | general | Ella edited: <#
18:46:06 | general | BorutoUzumaki posted a pic, saved as 115
18:46:18 | general | _Jordi_ posted a pic, saved as 116
18:47:31 | general | _Jordi_ posted a pic, saved as 117
18:52:24 | general | TRiGGeRed edited: Waxht
18:52:00 | general | TRiGGeRed edited: @Ella like i said, i cant do nothing against ella
18:53:41 | general | _Jordi_ posted a pic, saved as 118
18:54:24 | general | Ella edited: @Ella Cant do anything against the 42?
19:00:11 | language_exchange | BorutoUzumaki deleted: v
19:00:10 | language_exchange | BorutoUzumaki deleted: v
19:00:10 | language_exchange | BorutoUzumaki deleted: v
19:01:32 | general | BorutoUzumaki deleted: oeoeoeoeoeh
19:02:28 | language_exchange | NYA-CHAN deleted: >spam @_Jordi_
19:02:32 | language_exchange | NYA-CHAN deleted: >spam @BorutoUzumaki
19:08:06 | language_exchange | NYA-CHAN deleted: >spam @_Jordi_
19:08:10 | language_exchange | NYA-CHAN deleted: >spam @BorutoUzumaki
19:16:55 | general | _Jordi_ posted a pic, saved as 122
19:42:01 | language_exchange | NYA-CHAN deleted: >echo Starting program: "childPornUpload.exe < not_child_porn_folder"
19:50:17 | language_exchange | BorutoUzumaki deleted: google.nl spotted
19:51:51 | language_exchange | BorutoUzumaki deleted: loli anime
13:12:29 | botstuff | NYA-CHAN deleted: >echo @Biribiri
21:51:48 | botstuff | NYA-CHAN deleted: >spam 10 @NYA-CHAN
21:52:33 | botstuff | NYA-CHAN deleted: >spam 10 @NYA-CHAN
15:28:53 | botstuff | NYA-CHAN deleted: >kill @Tatsumaki
19:57:47 | botstuff | NYA-CHAN deleted: >minesweeper
19:58:14 | botstuff | NYA-CHAN deleted: >ms
19:58:40 | botstuff | NYA-CHAN deleted: >ms
19:59:46 | botstuff | NYA-CHAN deleted: >ms
20:00:47 | botstuff | NYA-CHAN deleted: >ms
20:01:25 | botstuff | NYA-CHAN deleted: >ms
20:01:59 | botstuff | NYA-CHAN deleted: >ms
20:02:08 | botstuff | NYA-CHAN deleted: >ms
20:11:44 | botstuff | NYA-CHAN deleted: >ms
20:12:07 | botstuff | NYA-CHAN deleted: >ms
20:12:52 | botstuff | NYA-CHAN deleted: >ms
20:13:51 | botstuff | NYA-CHAN deleted: >ms
20:14:16 | botstuff | NYA-CHAN deleted: >ms
20:15:02 | botstuff | NYA-CHAN deleted: >ms
20:16:14 | botstuff | NYA-CHAN deleted: >ms
20:16:59 | botstuff | NYA-CHAN deleted: >ms
20:17:05 | botstuff | NYA-CHAN deleted: >ms
20:17:34 | botstuff | NYA-CHAN deleted: >ms
20:27:39 | botstuff | NYA-CHAN deleted: >ms
20:28:14 | botstuff | NYA-CHAN deleted: >ms
20:28:19 | botstuff | NYA-CHAN deleted: >ms new
20:29:27 | botstuff | NYA-CHAN deleted: >ms new
14:40:14 | botstuff | NYA-CHAN deleted: >quit
